Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,5.55,5.6,5.533333,5.583333,3.376327,985500.0
1996-01-02,5.466666,5.566666,5.288888,5.372222,3.248665,7470000.0
1996-01-03,5.133333,5.254444,5.101111,5.2,3.14452,15160500.0
1996-01-04,5.2,5.332222,5.144444,5.297777,3.203647,12397500.0
1996-01-05,5.297777,5.277777,5.188888,5.202222,3.145864,5008500.0
1996-01-08,5.202222,5.238888,5.011111,5.042222,3.049109,12645000.0
1996-01-09,5.042222,5.108888,4.983333,5.028888,3.041046,8968500.0
1996-01-10,5.028888,5.111111,4.977777,5.012222,3.030967,2988000.0
1996-01-11,5.012222,5.043333,4.988888,5.038888,3.047093,2227500.0
1996-01-12,5.038888,5.133333,5.022222,5.088888,3.077328,4806000.0
1996-01-15,5.088888,5.111111,5.027777,5.034444,3.044406,2020500.0
1996-01-16,5.034444,5.067777,5.0,5.018888,3.034999,3082500.0
1996-01-17,5.018888,5.044444,5.002222,5.017777,3.034326,3078000.0
1996-01-18,5.017777,4.997777,4.888888,4.955555,2.996701,5148000.0
1996-01-19,4.955555,4.966666,4.627777,4.741111,2.867023,16128000.0
1996-01-22,4.741111,4.775555,4.645555,4.707777,2.846865,3946500.0
1996-01-23,4.707777,4.747777,4.377777,4.416666,2.670826,7947000.0
1996-01-24,4.416666,4.477777,4.15,4.225555,2.555258,15763500.0
1996-01-25,4.225555,4.222222,4.144444,4.182222,2.529053,8140500.0
1996-01-26,4.182222,4.182222,4.182222,4.182222,2.529053,0.0
1996-01-29,4.182222,4.505555,4.167777,4.416666,2.670826,9639000.0
1996-01-30,4.416666,4.821111,4.44,4.692222,2.837459,15669000.0
1996-01-31,4.692222,4.65,4.46,4.516666,2.731297,9598500.0
1996-02-01,4.516666,4.866666,4.522222,4.797777,2.901289,12573000.0
1996-02-02,4.887777,5.444444,4.844444,5.347777,3.233883,28179000.0
1996-02-05,5.347777,5.888888,5.355555,5.621111,3.399171,18873000.0
1996-02-06,5.733333,5.776666,5.412222,5.567777,3.36692,14112000.0
1996-02-07,5.488888,5.6,5.335555,5.485555,3.317199,13968000.0
1996-02-08,5.555555,6.062222,5.488888,6.062222,3.665919,21955500.0
1996-02-09,6.062222,6.396666,6.068888,6.262222,3.786861,12181500.0
1996-02-12,6.344444,6.344444,6.0,6.065555,3.667934,14436000.0
1996-02-13,6.065555,6.288888,6.0,6.21,3.755281,11718000.0
1996-02-14,6.311111,6.588888,6.311111,6.403333,3.872194,9598500.0
1996-02-15,6.403333,6.644444,6.333333,6.466666,3.910492,16924500.0
1996-02-16,6.311111,6.488888,6.155555,6.274444,3.794252,12861000.0
1996-02-19,6.275555,6.388888,6.266666,6.272222,3.79291,5913000.0
1996-02-20,6.333333,6.333333,5.866666,5.996666,3.626276,9823500.0
1996-02-21,5.996666,5.996666,5.996666,5.996666,3.626276,0.0
1996-02-22,5.996666,6.221111,6.127777,6.143333,3.714966,3231000.0
1996-02-23,6.143333,6.155555,5.98,6.064444,3.667262,3168000.0
1996-02-26,6.064444,6.222222,6.002222,6.078888,3.675996,4230000.0
1996-02-27,6.078888,6.144444,6.022222,6.06,3.664574,4432500.0
1996-02-28,6.06,6.218888,6.0,6.025555,3.643747,3217500.0
1996-02-29,6.025555,6.0,5.556666,5.645555,3.413954,8167500.0
1996-03-01,5.645555,5.8,5.603333,5.742222,3.47241,6880500.0
1996-03-04,5.742222,5.833333,5.688888,5.765555,3.486519,6084000.0
1996-03-05,5.765555,5.765555,5.765555,5.765555,3.486519,0.0
1996-03-06,5.765555,5.78,5.644444,5.758888,3.482487,3960000.0
1996-03-07,5.758888,5.822222,5.656666,5.686666,3.438814,4450500.0
1996-03-08,5.686666,5.622222,5.511111,5.603333,3.388422,5472000.0
1996-03-11,5.603333,5.574444,5.401111,5.45,3.295698,4653000.0
1996-03-12,5.45,5.444444,5.267777,5.292222,3.200287,4117500.0
1996-03-13,5.292222,5.733333,5.313333,5.712222,3.454268,8941500.0
1996-03-14,5.733333,5.866666,5.623333,5.674444,3.431423,12537000.0
1996-03-15,5.674444,5.711111,5.588888,5.606666,3.390436,13815000.0
1996-03-18,5.311111,5.373333,5.166666,5.214444,3.153254,17239500.0
1996-03-19,5.155555,5.311111,5.004444,5.088888,3.077328,15408000.0
1996-03-20,5.088888,5.088888,5.088888,5.088888,3.077328,0.0
1996-03-21,5.133333,5.344444,5.133333,5.232222,3.164004,10872000.0
1996-03-22,5.232222,5.2,4.8,4.935555,2.984605,21861000.0
1996-03-25,4.777777,4.777777,4.466666,4.602222,2.783035,55692000.0
1996-03-26,4.516666,4.866666,4.512222,4.751111,2.873069,34699500.0
1996-03-27,4.711111,4.872222,4.711111,4.817777,2.913384,26779500.0
1996-03-28,4.934444,5.088888,4.933333,5.07,3.065907,33025500.0
1996-03-29,5.088888,5.133333,4.913333,4.975555,3.008794,23152500.0
1996-04-01,4.974444,5.088888,4.974444,5.044444,3.050453,12132000.0
1996-04-02,5.044444,5.311111,5.033333,5.221111,3.157285,32967000.0
1996-04-03,5.221111,5.422222,5.181111,5.218888,3.155941,16245000.0
1996-04-04,5.156666,5.366666,5.112222,5.352222,3.236571,42660000.0
1996-04-05,5.352222,5.352222,5.352222,5.352222,3.236571,0.0
1996-04-08,5.453333,5.637777,5.4,5.6,3.386406,49014000.0
1996-04-09,5.6,5.833333,5.58,5.697777,3.445532,48334500.0
1996-04-10,5.627777,5.727777,5.467777,5.532222,3.345419,42376500.0
1996-04-11,5.444444,5.534444,5.406666,5.483333,3.315856,33498000.0
1996-04-12,5.467777,5.538888,5.446666,5.527777,3.342733,18441000.0
1996-04-15,5.527777,5.633333,5.511111,5.533333,3.346092,22684500.0
1996-04-16,5.533333,5.753333,5.532222,5.652222,3.417984,34299000.0
1996-04-17,5.82,5.964444,5.778888,5.931111,3.586634,33628500.0
1996-04-18,6.128888,6.222222,6.068888,6.115555,3.698169,37921500.0
1996-04-19,6.115555,6.197777,6.055555,6.083333,3.678684,26325000.0
1996-04-22,6.088888,6.106666,5.888888,5.933333,3.587977,35055000.0
1996-04-23,5.855555,6.076666,5.844444,6.026666,3.644418,34960500.0
1996-04-24,6.026666,6.288888,6.166666,6.26,3.785517,23674500.0
1996-04-25,6.266666,6.266666,5.911111,5.985555,3.619557,23670000.0
1996-04-26,6.044444,6.2,5.978888,6.083333,3.678684,20560500.0
1996-04-29,6.083333,6.144444,5.935555,6.114444,3.697497,17212500.0
1996-04-30,6.114444,6.122222,6.0,6.053333,3.660544,13378500.0
1996-05-01,6.053333,6.177777,6.077777,6.138888,3.71228,5935500.0
1996-05-02,6.138888,6.153333,6.005555,6.135555,3.710264,19174500.0
1996-05-03,6.113333,6.211111,6.058888,6.082222,3.678013,24403500.0
1996-05-06,5.988888,6.0,5.826666,5.841111,3.532209,20434500.0
1996-05-07,5.841111,5.911111,5.782222,5.863333,3.545648,9841500.0
1996-05-08,5.863333,5.994444,5.612222,5.937777,3.590665,28692000.0
1996-05-09,5.877777,5.952222,5.813333,5.837777,3.530193,14679000.0
1996-05-10,5.837777,5.908888,5.712222,5.871111,3.55035,20101500.0
1996-05-13,6.0,6.211111,5.956666,6.148888,3.718327,31594500.0
1996-05-14,6.133333,6.533333,6.116666,6.472222,3.913851,66078000.0
1996-05-15,6.444444,6.466666,6.173333,6.413333,3.878241,50305500.0
1996-05-16,6.466666,6.576666,6.388888,6.436666,3.89235,33187500.0
1996-05-17,6.436666,6.436666,6.313333,6.345555,3.837253,21501000.0
1996-05-20,6.177777,6.211111,6.002222,6.021111,3.641058,18441000.0
1996-05-21,5.955555,6.054444,5.856666,5.912222,3.575211,35910000.0
1996-05-22,5.997777,6.111111,5.997777,6.028888,3.64576,20898000.0
1996-05-23,6.066666,6.098888,5.95,5.98,3.616197,20889000.0
1996-05-24,6.022222,6.108888,6.0,6.062222,3.665919,21708000.0
1996-05-27,6.022222,6.041111,5.888888,5.904444,3.570507,22122000.0
1996-05-28,5.822222,5.951111,5.778888,5.888888,3.561101,26806500.0
1996-05-29,6.022222,6.233333,6.005555,6.152222,3.720343,19197000.0
1996-05-30,6.152222,6.216666,6.054444,6.075555,3.67398,16020000.0
1996-05-31,6.075555,6.111111,6.055555,6.092222,3.68406,6705000.0
1996-06-03,6.111111,6.31,6.111111,6.284444,3.8003,19215000.0
1996-06-04,6.311111,6.365555,6.133333,6.172222,3.732437,16807500.0
1996-06-05,6.188888,6.198888,6.088888,6.17,3.731092,11344500.0
1996-06-06,6.277777,6.411111,6.266666,6.357777,3.844646,29074500.0
1996-06-07,6.312222,6.544444,6.312222,6.523333,3.944759,73305000.0
1996-06-10,6.572222,6.572222,6.456666,6.513333,3.938711,34047000.0
1996-06-11,6.461111,6.75,6.461111,6.654444,4.024044,60835500.0
1996-06-12,6.766666,6.908888,6.755555,6.836666,4.134237,59859000.0
1996-06-13,6.816666,6.983333,6.816666,6.962222,4.210162,95800500.0
1996-06-14,6.987777,7.294444,6.987777,7.266666,4.394264,179604000.0
1996-06-17,7.216666,7.266666,6.866666,6.915555,4.181942,179815500.0
1996-06-18,6.844444,7.0,6.296666,6.801111,4.112736,246838500.0
1996-06-19,6.644444,6.666666,6.404444,6.454444,3.903101,159619500.0
1996-06-20,6.368888,6.761111,6.368888,6.688888,4.044873,157018500.0
1996-06-21,6.622222,6.922222,6.622222,6.82,4.124158,279954000.0
1996-06-24,6.888888,7.2,6.888888,7.153333,4.32573,326632500.0
1996-06-25,7.222222,7.333333,7.028888,7.098888,4.292806,424192500.0
1996-06-26,7.088888,7.122222,6.938888,6.973333,4.216881,202864500.0
1996-06-27,6.933333,7.066666,6.866666,7.026666,4.249133,227979000.0
1996-06-28,7.066666,7.105555,6.942222,6.97,4.214866,131152500.0
1996-07-01,6.913333,6.944444,6.757777,6.804444,4.114752,181584000.0
1996-07-02,6.8,6.861111,6.674444,6.717777,4.062343,190984500.0
1996-07-03,6.733333,6.733333,6.555555,6.643333,4.017326,213259500.0
1996-07-04,6.588888,6.732222,6.491111,6.627777,4.007917,204102000.0
1996-07-05,6.705555,6.877777,6.678888,6.813333,4.120127,301122000.0
1996-07-08,6.887777,7.222222,6.766666,6.811111,4.152644,129073500.0
1996-07-09,6.76,6.808888,6.446666,6.695555,4.082191,126684000.0
1996-07-10,6.888888,6.911111,6.735555,6.863333,4.184484,190098000.0
1996-07-11,6.884444,7.066666,6.884444,6.997777,4.266451,267327000.0
1996-07-12,6.977777,7.055555,6.933333,6.97,4.249517,194985000.0
1996-07-15,6.935555,7.0,6.878888,6.973333,4.251548,162396000.0
1996-07-16,7.0,7.02,6.855555,6.892222,4.202096,131220000.0
1996-07-17,6.938888,7.022222,6.901111,6.966666,4.247484,144319500.0
1996-07-18,6.994444,7.122222,6.975555,7.037777,4.290839,183604500.0
1996-07-19,7.065555,7.1,6.944444,6.984444,4.258322,85104000.0
1996-07-22,6.91,7.108888,6.824444,6.967777,4.24816,110304000.0
1996-07-23,7.016666,7.055555,6.911111,6.942222,4.232581,127287000.0
1996-07-24,6.927777,6.966666,6.73,6.852222,4.177709,208746000.0
1996-07-25,6.833333,6.91,6.822222,6.838888,4.16958,81180000.0
1996-07-26,6.875555,6.878888,6.717777,6.773333,4.12961,144027000.0
1996-07-29,6.788888,6.827777,6.508888,6.537777,3.985996,254844000.0
1996-07-30,6.491111,6.491111,6.207777,6.327777,3.857961,371394000.0
1996-07-31,6.377777,6.788888,6.272222,6.72,4.097095,507483000.0
1996-08-01,6.838888,7.016666,6.733333,6.775555,4.130967,509188500.0
1996-08-02,6.755555,6.855555,6.602222,6.763333,4.123514,444348000.0
1996-08-05,6.833333,6.933333,6.802222,6.832222,4.165514,304956000.0
1996-08-06,6.833333,7.0,6.636666,6.802222,4.147225,377064000.0
1996-08-07,6.755555,6.812222,6.714444,6.785555,4.137063,91381500.0
1996-08-08,6.817777,6.817777,6.623333,6.653333,4.05645,93406500.0
1996-08-09,6.644444,6.731111,6.583333,6.705555,4.088288,126238500.0
1996-08-12,6.748888,6.84,6.716666,6.776666,4.131643,141907500.0
1996-08-13,6.756666,6.911111,6.75,6.855555,4.17974,129604500.0
1996-08-14,6.792222,6.805555,6.722222,6.751111,4.116063,75834000.0
1996-08-15,6.751111,6.751111,6.751111,6.751111,4.116063,0.0
1996-08-16,6.738888,6.785555,6.631111,6.665555,4.0639,118971000.0
1996-08-19,6.6,6.6,6.278888,6.307777,3.845768,209794500.0
1996-08-20,6.277777,6.438888,6.272222,6.345555,3.868799,139149000.0
1996-08-21,6.4,6.455555,6.361111,6.424444,3.916898,86971500.0
1996-08-22,6.456666,6.488888,6.305555,6.325555,3.856606,87988500.0
1996-08-23,6.291111,6.415555,6.272222,6.388888,3.895221,70429500.0
1996-08-26,6.421111,6.421111,6.242222,6.258888,3.815961,99459000.0
1996-08-27,6.25,6.411111,6.162222,6.322222,3.854574,200808000.0
1996-08-28,6.377777,6.438888,6.311111,6.387777,3.894543,71779500.0
1996-08-29,6.4,6.505555,6.373333,6.412222,3.909446,111357000.0
1996-08-30,6.411111,6.453333,6.374444,6.44,3.926382,60952500.0
1996-09-02,6.477777,6.661111,6.45,6.594444,4.020545,143572500.0
1996-09-03,6.665555,6.707777,6.511111,6.616666,4.034093,179784000.0
1996-09-04,6.511111,6.577777,6.473333,6.558888,3.998867,79492500.0
1996-09-05,6.594444,6.648888,6.555555,6.634444,4.044931,69291000.0
1996-09-06,6.642222,6.722222,6.582222,6.673333,4.068643,142956000.0
1996-09-09,6.671111,6.671111,6.567777,6.583333,4.013771,116122500.0
1996-09-10,6.577777,6.588888,6.5,6.562222,4.000899,112117500.0
1996-09-11,6.55,6.577777,6.366666,6.382222,3.891156,128731500.0
1996-09-12,6.397777,6.413333,6.312222,6.386666,3.893866,120370500.0
1996-09-13,6.422222,6.444444,6.334444,6.35,3.871511,83268000.0
1996-09-16,6.333333,6.338888,6.206666,6.236666,3.802413,148135500.0
1996-09-17,6.224444,6.593333,6.222222,6.425555,3.917576,101574000.0
1996-09-18,6.488888,6.752222,6.372222,6.682222,4.074063,157909500.0
1996-09-19,6.666666,6.72,6.478888,6.507777,3.967705,196929000.0
1996-09-20,6.511111,6.607777,6.49,6.538888,3.986672,96763500.0
1996-09-23,6.511111,6.555555,6.478888,6.526666,3.979222,77872500.0
1996-09-24,6.554444,6.744444,6.553333,6.682222,4.074063,247869000.0
1996-09-25,6.71,6.786666,6.626666,6.653333,4.05645,155137500.0
1996-09-26,6.666666,6.666666,6.544444,6.598888,4.023254,113598000.0
1996-09-27,6.6,6.681111,6.523333,6.608888,4.029352,187092000.0
1996-09-30,6.622222,6.753333,6.6,6.732222,4.104545,164398500.0
1996-10-01,6.754444,7.188888,6.712222,6.805555,4.149257,240903000.0
1996-10-02,6.805555,6.805555,6.805555,6.805555,4.149257,0.0
1996-10-03,6.8,6.966666,6.777777,6.937777,4.229871,303381000.0
1996-10-04,6.955555,7.01,6.766666,6.855555,4.17974,334696500.0
1996-10-07,6.834444,6.844444,6.56,6.736666,4.107255,346864500.0
1996-10-08,6.712222,7.133333,6.656666,7.036666,4.290162,441364500.0
1996-10-09,6.911111,6.988888,6.833333,6.903333,4.20887,195336000.0
1996-10-10,6.907777,7.2,6.891111,7.17,4.371454,325944000.0
1996-10-11,7.22,7.315555,7.166666,7.211111,4.396519,342256500.0
1996-10-14,7.173333,7.173333,7.022222,7.09,4.322679,193725000.0
1996-10-15,7.064444,7.263333,6.78,7.077777,4.315226,381001500.0
1996-10-16,6.917777,7.311111,6.862222,6.905555,4.210226,262372500.0
1996-10-17,6.878888,6.878888,6.646666,6.767777,4.126224,347332500.0
1996-10-18,6.788888,6.821111,6.7,6.726666,4.10116,193662000.0
1996-10-21,6.726666,6.726666,6.726666,6.726666,4.10116,0.0
1996-10-22,6.755555,6.933333,6.734444,6.825555,4.16145,220347000.0
1996-10-23,6.977777,7.153333,6.977777,7.106666,4.332839,156865500.0
1996-10-24,7.155555,7.176666,6.873333,6.922222,4.220387,152622000.0
1996-10-25,6.892222,6.997777,6.878888,6.971111,4.250193,83529000.0
1996-10-28,7.033333,7.133333,7.011111,7.044444,4.294903,128443500.0
1996-10-29,7.044444,7.311111,7.016666,7.182222,4.378905,214974000.0
1996-10-30,7.182222,7.182222,7.182222,7.182222,4.378905,0.0
1996-10-31,6.834444,6.834444,6.466666,6.691111,4.079481,385960500.0
1996-11-01,6.651111,6.811111,6.613333,6.676666,4.070673,358177500.0
1996-11-04,6.605555,6.605555,6.411111,6.461111,3.939254,290061000.0
1996-11-05,6.423333,6.518888,6.008888,6.105555,3.722476,452736000.0
1996-11-06,5.888888,5.894444,5.678888,5.678888,3.462343,219811500.0
1996-11-07,5.341111,5.566666,5.29,5.515555,3.36276,437089500.0
1996-11-08,5.57,5.727777,5.545555,5.701111,3.475892,291564000.0
1996-11-11,5.622222,6.02,5.556666,5.746666,3.503666,288495000.0
1996-11-12,5.746666,5.746666,5.746666,5.746666,3.503666,0.0
1996-11-13,5.753333,6.022222,5.692222,5.976666,3.643893,355684500.0
1996-11-14,5.965555,6.018888,5.801111,5.835555,3.557861,359842500.0
1996-11-15,5.833333,5.922222,5.744444,5.892222,3.59241,280755000.0
1996-11-18,5.911111,6.305555,5.81,6.293333,3.836961,583254000.0
1996-11-19,6.3,6.666666,6.204444,6.352222,3.872866,574497000.0
1996-11-20,6.27,6.31,6.014444,6.038888,3.681829,459504000.0
1996-11-21,6.067777,6.196666,6.018888,6.105555,3.722476,475204500.0
1996-11-22,6.087777,6.151111,6.055555,6.091111,3.713671,313681500.0
1996-11-25,6.072222,6.222222,5.827777,6.087777,3.711637,411858000.0
1996-11-26,6.222222,6.511111,6.111111,6.358888,3.87693,556713000.0
1996-11-27,6.114444,6.131111,5.958888,6.057777,3.693345,239976000.0
1996-11-28,6.071111,6.157777,6.066666,6.106666,3.723154,165361500.0
1996-11-29,6.111111,6.187777,6.1,6.112222,3.726542,115047000.0
1996-12-02,6.122222,6.288888,6.111111,6.185555,3.771251,166797000.0
1996-12-03,6.177777,6.226666,5.911111,6.035555,3.679799,264496500.0
1996-12-04,5.83,5.866666,5.657777,5.835555,3.557861,214218000.0
1996-12-05,5.801111,6.0,5.756666,5.956666,3.6317,217219500.0
1996-12-06,6.0,6.12,5.798888,6.054444,3.691315,236835000.0
1996-12-09,6.1,6.197777,6.063333,6.121111,3.731961,201159000.0
1996-12-10,6.108888,6.444444,6.0,6.085555,3.710283,255582000.0
1996-12-11,6.131111,6.375555,6.045555,6.343333,3.867446,231367500.0
1996-12-12,6.374444,6.416666,6.253333,6.274444,3.825444,249822000.0
1996-12-13,6.254444,6.254444,6.138888,6.208888,3.785477,274554000.0
1996-12-16,6.193333,6.333333,6.181111,6.313333,3.849156,219213000.0
1996-12-17,6.321111,6.443333,6.1,6.285555,3.832219,228690000.0
1996-12-18,6.177777,6.39,6.177777,6.325555,3.856606,238410000.0
1996-12-19,6.314444,6.361111,6.262222,6.336666,3.863381,120307500.0
1996-12-20,6.375555,6.613333,6.365555,6.577777,4.010384,323748000.0
1996-12-23,6.622222,6.766666,6.585555,6.737777,4.107934,314752500.0
1996-12-24,6.761111,7.2,6.712222,6.893333,4.202773,346612500.0
1996-12-25,6.893333,6.893333,6.893333,6.893333,4.202773,0.0
